attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,
total,126207,0.8,34330,3.7,37401,3.4,13752,6.3,15564,5.9,25160,4.5
sexMale,60869,2.4,13786,6.3,19624,5.2,4589,11.5,9931,7.5,12938,6.7
sexFemale,65338,2.2,20543,5.0,17777,5.4,9163,7.8,5633,10.1,12221,6.8
age25_44,46585,3.1,8948,8.3,12373,6.9,5390,10.7,5759,10.3,14116,6.5
age45_64,48142,2.9,13541,6.4,15371,5.8,4842,10.9,6587,9.2,7802,8.5
age65+,31480,3.7,11841,6.6,9657,7.3,3521,12.3,3218,13.0,3242,12.9
citizenSwiss,93793,1.5,20196,4.9,32582,3.8,11071,7.0,12819,6.5,17125,5.6
citizenUE28_AELE,25201,4.5,10369,7.4,4057,12.2,2073,17.4,2373,16.1,6330,9.8
citizenOtherEuropeanCountries,2376,17.7,1352,23.5,385,43.8,217,57.4,NaN,NaN,355,46.4
citizenOtherWorldwideCountries,4837,11.9,2412,17.0,378,42.7,391,42.8,306,47.9,1350,22.8
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,73233,2.0,13774,6.1,27621,4.2,8283,8.2,10390,7.3,13165,6.5
migratoryBackgroundSwissWith,20045,5.0,6274,9.4,4781,10.9,2736,14.6,2379,15.6,3875,12.2
migratoryBackgroundFirstGeneration,29189,4.3,13363,6.6,3600,13.2,2384,16.5,2152,17.2,7690,9.0
migratoryBackgroundSecondGenerationAndMore,3080,14.1,664,30.9,1219,22.4,281,47.6,593,31.7,323,45.0
migratoryBackgroundUnknown,661,31.1,255,51.8,180,57.5,NaN,NaN,NaN,NaN,107,78.4
labourMarketEmployedPersons,76230,2.0,14883,6.1,23235,4.7,7707,8.7,11065,7.1,19341,5.3
labourMarketUnemployedPersons,6271,9.9,2171,17.2,1689,19.1,752,29.4,433,38.1,1226,22.9
labourMarketPersonsWithoutProfessionalActivity,43705,3.0,17276,5.4,12477,6.4,5294,10.2,4066,11.7,4592,11.1
socioprofessionalCategoriesExecutives,3496,12.9,359,41.6,661,29.7,138,68.1,987,24.5,1350,20.7
socioprofessionalCategoriesLiberalAndSimilar,1585,19.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1585,19.2
socioprofessionalCategoriesOtherSelfEmployed,6492,9.4,1158,22.7,2879,14.3,858,26.6,1258,21.8,339,42.6
socioprofessionalCategoriesIntellectualAndManagerial,13284,6.6,208,55.4,445,37.4,238,50.9,604,31.7,11788,7.0
socioprofessionalCategoriesIntermediate,18866,5.3,1705,19.0,3837,12.4,1900,17.8,7738,8.6,3687,13.0
socioprofessionalCategoriesSkilledNonManuals,13976,6.3,105,78.0,10402,7.4,3469,13.2,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,5363,10.7,341,41.5,4287,12.0,735,29.4,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,9815,7.7,9815,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,202,57.5,91,85.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,3153,13.8,1102,23.8,671,30.1,350,41.6,478,35.3,553,33.7
socioprofessionalCategoriesUnemployedOrNotWorking,49977,2.8,19447,5.1,14166,6.0,6046,9.6,4499,11.1,5819,10.0
