region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,serbianCroatian,serbianCroatian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,1.0,496839.0,0.004,11676.0,0.07200000000000001,30716.0,0.045,630.0,0.305,32195.0,0.044000000000000004,10193.0,0.081,19319.0,0.057999999999999996,24472.0,0.054000000000000006,9852.0,0.081,9844.0,0.083,38054.0,0.040999999999999995
AI,1.0,12604.0,0.027999999999999997,183.0,0.7959999999999999,NaN,NaN,NaN,NaN,346.0,0.613,NaN,NaN,303.0,0.6459999999999999,NaN,NaN,NaN,NaN,NaN,NaN,328.0,0.688
AR,1.0,41888.0,0.017,461.0,0.517,889.0,0.37,205.0,0.741,1785.0,0.259,400.0,0.593,1294.0,0.315,617.0,0.488,736.0,0.41,188.0,0.865,2224.0,0.245
BE,1.0,725073.0,0.005,93589.0,0.034,27859.0,0.064,1039.0,0.335,39585.0,0.053,16195.0,0.08800000000000001,13119.0,0.096,19333.0,0.083,14087.0,0.09,6869.0,0.135,49660.0,0.049
BL,1.0,211530.0,0.009000000000000001,7954.0,0.121,13198.0,0.09699999999999999,354.0,0.584,17270.0,0.084,2516.0,0.22699999999999998,5213.0,0.158,5200.0,0.166,5357.0,0.156,5669.0,0.151,16093.0,0.08800000000000001
BS,1.0,123646.0,0.016,8312.0,0.122,9625.0,0.113,184.0,0.873,19173.0,0.08,3720.0,0.19,4913.0,0.163,4221.0,0.18600000000000003,6454.0,0.14300000000000002,6778.0,0.139,16708.0,0.08800000000000001
FR,1.0,69618.0,0.036000000000000004,182267.0,0.015,6856.0,0.135,NaN,NaN,9116.0,0.11599999999999999,20338.0,0.078,2151.0,0.245,6555.0,0.146,4922.0,0.162,2097.0,0.249,10998.0,0.10800000000000001
GE,1.0,15169.0,0.063,308464.0,0.006999999999999999,23769.0,0.052000000000000005,242.0,0.539,47376.0,0.036000000000000004,36536.0,0.042,3743.0,0.13699999999999998,9415.0,0.091,30839.0,0.046,2763.0,0.159,34516.0,0.044000000000000004
GL,1.0,29026.0,0.027999999999999997,278.0,0.684,2143.0,0.247,NaN,NaN,1133.0,0.366,1284.0,0.325,911.0,0.397,1265.0,0.34,355.0,0.614,267.0,0.732,2046.0,0.264
GR,1.0,127959.0,0.016,2225.0,0.23399999999999999,23739.0,0.069,23756.0,0.067,7139.0,0.136,8396.0,0.13,2896.0,0.213,1660.0,0.3,1847.0,0.275,287.0,0.687,6627.0,0.145
JU,1.0,3653.0,0.17800000000000002,55601.0,0.015,1738.0,0.275,NaN,NaN,1369.0,0.313,1720.0,0.285,393.0,0.5870000000000001,813.0,0.414,1321.0,0.325,200.0,0.789,1830.0,0.27899999999999997
LU,1.0,303390.0,0.005,5350.0,0.10800000000000001,11303.0,0.075,865.0,0.264,15863.0,0.063,7501.0,0.09300000000000001,10957.0,0.077,12786.0,0.073,5333.0,0.109,1782.0,0.19699999999999998,19867.0,0.057999999999999996
